Id,Source,PassageName,QuestionId,QuestionText,QuestionTypeId,QuestionDifficulty,A,B,C,D,E,IsInvalid,CreatedOn,UpdatedOn
259,worksheet,black beauty,7,What pair of items or tasks were not mentioned as training for ëbreaking iní?,1,5,Not jumping for joy when the harness is on nor kicking,No biting nor lying down when tired,Carrying people on their back and not speak to other horses,Wearing a collar and wearing a chain,NULL,0,58:14.5,16:30.0
260,worksheet,black beauty,8,What was the narrator already used to as a colt?,1,4,Drinking alcohol,The temperature,The ground being comfortable,Being up all night,NULL,0,58:14.5,16:30.0
261,worksheet,black beauty,9,How did the master get the narrator to wear the bit and bridle?,1,5,"By being caring, gentle and rewarding with oats",By forcing it on the narrator,By threatening the narrator that he would get rid of him,By persuading the narrator cleverly,NULL,0,58:14.5,16:30.0
262,worksheet,black beauty,10,What does ìtill I began to look for the oats and the saddleî (line 40-41) suggest about the narrator?,1,5,The narrator became greedy for the oats,The narrator eventually wanted the saddle for the oats,The narrator was searching to find the oats and saddle that were hidden,The narrator was tricked to wear the saddle because of the oats,NULL,0,58:14.5,16:30.0
263,worksheet,black beauty,11,Which one option best describes the relationship between the master and the narrator?,1,5,They care deeply for each other,They are best friends,The narrator cares for the master more,The master is just using the colt,NULL,0,58:14.5,16:30.0
264,worksheet,black beauty,12,How did the narrator feel about carrying his master around?,1,4,He was immediately proud,It was bizarre and absurd,First it was strange then pleasing,Unfamiliar but then exciting,NULL,0,58:14.5,16:30.0
265,worksheet,brazilian,1,What word would best replace the word ëcroniesí line _________?,1,3,Teachers,Students,Friends,Cousins,NULL,0,58:14.5,16:30.0
266,worksheet,brazilian,2,"How did Father Zahm feel about Dante, history and science?",1,3,They found it together,The absolutely loved it,They liked it,They disliked it,NULL,0,58:14.5,16:30.0
267,worksheet,brazilian,3,Which one of these statements is false?,1,4,Father Zahm went to school in Ohio,Januarius Aloysius MacGahan went to school with Skobeloff,Father Zahm went to a log school,Father Zahm and the narrator know the same people,NULL,0,58:14.5,16:30.0
268,worksheet,brazilian,4,What does ìdefender of any small boy who was oppressed by a larger oneî mean?,1,3,MacGahan protected others from bullies,MacGahan only protected small boys from big boys,MacGahan would gang up with small boys to bully big boys,MacGahan would oppress small boys as he was a big boy,NULL,0,58:14.5,16:30.0
269,worksheet,brazilian,5,Which one of these statements is true?,1,4,The narrator knew Maurice Egan while they were at Notre Dame University,Father Zahm went to university in Ohio,Maurice Egan eventually worked for the President,"The narrator liked Dante, history, science and geography",NULL,0,58:14.5,16:30.0
270,worksheet,brazilian,6,Why did the narrator not go to South America when Father Zahm asked him?,1,5,He did not want to go there,He wanted to go elsewhere,He was too busy,He was not ready to go there yet,NULL,0,58:14.5,16:30.0
271,worksheet,brazilian,7,Which one of these statements is true?,1,4,The narrator was still the President when Father Zahm came to see him,The narrator had just finished being the President when Father Zahm came to see him,Father Zahm came to see him five years after being President,The narrator finished being the President in 1913,NULL,0,58:14.5,16:30.0
272,worksheet,brazilian,8,What does the phrase ìoccurred to meî mean?,1,4,Something happened to them,Someone thought of them,Something happened near them,They realised something,NULL,0,58:14.5,16:30.0
273,worksheet,brazilian,9,When did the narrator want to go through the middle of the continent?,1,5,After taking a trip around the sea of South America,Before going to the Amazon,During his conventional tourist trip,After delivering lectures to the academic clubs,NULL,0,58:14.5,16:30.0
274,worksheet,brazilian,10,Where was the American Museum of Natural History?,1,2,Andes,Paraguay,Indiana,New York City,NULL,0,58:14.5,16:30.0
275,worksheet,brazilian,11,Why did the narrator want to see people at the museum?,1,4,For work for the museum,For experts and permission,For experts and to offer work for the museum,For resources and permission,NULL,0,58:14.5,16:30.0
276,worksheet,brazilian,12,Where did the narrator find Father Zahm in June?,1,3,Back in Ohio,In South America,In Paraguay,In New York City,NULL,0,58:14.5,16:30.0
277,worksheet,brazilian,13,How did the narrator feel after meeting Father Zahm again?,1,5,Emotional,Stunned,Deflated,Courageous,NULL,0,58:14.5,16:30.0
278,worksheet,brazilian,14,Why was Mr Chapman pleased about the narratorís trip to Paraguay?,1,5,They did not have many items from that area,It is an area they really like,They did not know anything about that area,It is a really hard area to get to,NULL,0,58:14.5,16:30.0
279,worksheet,brazilian,15,Who made the final choice of the naturalists to go with the narrator?,1,4,The narrator,Henry Fairfield Osborn,Father Zahm,Mr Chapman,NULL,0,58:14.5,16:30.0
280,worksheet,charlottes,1,At what time of day is this chapter set?,1,1,Morning,Noon,Afternoon,Evening,NULL,0,58:14.5,16:30.0
281,worksheet,charlottes,2,What season does this story occur in?,1,2,Winter,Spring,Summer,Autumn,NULL,0,58:14.5,16:30.0
282,worksheet,charlottes,3,Which is the most likely reason Fernís mother chooses to say ëdo away with ití instead of ëkill ití?,2,3,She doesnít want Fern to be more upset,They mean the same thing,Saying ëkill ití makes what Fernís father is doing sound worse,Because Fernís father is taking it away to the hog-house,NULL,0,58:14.5,16:30.0
283,worksheet,charlottes,4,Why does Fern change her sneakers?,1,1,They were wet from the rain,They were wet from the grass,They were wet from her crying,Because she went indoors,NULL,0,58:14.5,16:30.0
284,worksheet,charlottes,5,Why does John Arable look almost ready to cry?,2,2,He is sad that Fern cried,He wishes she would let go of the axe and let him do away with the pig,He realises that killing the pig is unjust,He is sad Fern thinks humans and pigs are the same,NULL,0,58:14.5,16:30.0
285,worksheet,charlottes,6,What animal is bacon made from?,6,1,Cow,Pig,Sheep,Chicken,NULL,0,58:14.5,16:30.0
286,worksheet,charlottes,7,Was Fern certain her father would bring the pig back?,2,2,Yes,No,It is not mentioned in the text,NULL,NULL,0,58:14.5,16:30.0
287,worksheet,charlottes,8,What does Fernís father think of his decision to let her have the pig?,1,3,Unforgivable,Kind,Unwise,Munificent,NULL,0,58:14.5,16:30.0
288,worksheet,charlottes,9,What is meant by the word ëinjusticeí (line 26)?,6,4,Unfairness,Justice,Murder,Pig-killing,NULL,0,58:14.5,16:30.0
289,worksheet,charlottes,10,What is meant by the word ëuntimelyí (line 42)?,6,4,Quick,Late,An unsuitable time,A planned time,NULL,0,58:14.5,16:30.0
290,worksheet,court life,1,Who did the narrator go to the south of Spain with?,1,3,Her brother and the parrot,Her brother and a gentleman from Sevilla,Only her brother,Her brother and her mother,NULL,0,58:14.5,16:30.0
291,worksheet,court life,2,Where did the Parrot originally come from?,1,3,Sevilla,South of Spain,South America,Republica,NULL,0,58:14.5,16:30.0
292,worksheet,court life,3,What causes Spain to become a republic?,1,4,There was a revolution,The parrot caused great anger in the public,The family had come from South America,The Spanish werenít fond of South American rulers,NULL,0,58:14.5,16:30.0
293,worksheet,court life,4,Which word best describes the parrot?,1,3,Uncaring,Sarcastic,Ignorant,Smart,NULL,0,58:14.5,16:30.0
294,worksheet,court life,5,"Even after learning to say, ìViva la Republica!î what was one of the issues it had?",1,4,It would occasionally fly away,It would infrequently say the wrong thing,It would unintentionally hurt the owner,It would accidentally make a political mistake,NULL,0,58:14.5,16:30.0
295,worksheet,court life,6,"Based on the information in the text, when did the King begin his reign?",1,5,1868,1874,1869,1876,NULL,0,58:14.5,16:30.0
296,worksheet,court life,7,Why does the narrator describe her life as a prison?,1,4,It is luxurious,The conditions are very strict,It is gilded,Leaving is restricted,NULL,0,58:14.5,16:30.0
297,worksheet,court life,8,"What writing technique is theìimpediment of fetters on the mind,î?",1,5,Metaphor,Simile,Personification,Onomatopoeia,NULL,0,58:14.5,16:30.0
298,worksheet,court life,9,"What is the effect of the writing technique, ìimpediment of fetters on the mind,î?",1,5,It shows how the narrator was a prisoner,It demonstrates how she physically could not leave,It highlights how she was unable to do anything,It showcases how her thoughts and feelings were never free,NULL,0,58:14.5,16:30.0
299,worksheet,court life,10,What does ëthe body infantileí mean?,1,5,She was still a child,She was acting young,Her body was frail and weak,Her body was beginning to grow,NULL,0,58:14.5,16:30.0
300,worksheet,court life,11,What reason was provided by the narrator as for why a revolution may not affect her?,1,5,Her ancestors and culture,Her intelligence and youth,Her vigour and spirit,Her beliefs and desire,NULL,0,58:14.5,16:30.0
301,worksheet,court life,12,Which line from the text means that royalty have existed because the people want them and also they are defended,1,5,ëRace so old and traditions so establishedí,Born to rule as unquestionably,By the consent of society and under the protection of the law,a few families of human beings had been inheriting the thrones of Europe,NULL,0,58:14.5,16:30.0
302,worksheet,court life,13,which one of these options was not given as a reason for a king or queen to lose their crown?,1,5,bad management,Ill will,Misfortune,Inheritance,NULL,0,58:14.5,16:30.0
303,worksheet,DORIAN,1,In whose residence does this passage take place?,1,4,Dorian Grayís,Alan Campbellís,LorHenry Wottonís,"No oneís, it is occurring in public",It is not mentionein thtext,0,58:14.5,16:30.0
304,worksheet,DORIAN,2,Which of the following best describes Alan¬ís initial assessment of Dorian?,1,4,His not familiar with him anis thus curious,Hrespects him but isnít particularly interested,His wary of him anlooking out for danger,Hdetests him anwants to turn away from him,His scornful anevaluating,0,58:14.5,16:30.0
305,worksheet,DORIAN,3,To whom is it a matter of life and death?,4,5,His vision was impaired,"To Dorian, becaushmay bhanged; anto Alan because of the contents of the letter","To thdeaman, becaushis thonly person who has died","To Dorian, becaushmay bhanged; anto thdeaman, because he has died","To Dorian, becaushmay bhanged; to Alan, becausof thcontents of the letter; as well as to thdeaman, because he has died",0,58:14.5,16:30.0
306,worksheet,DORIAN,6,Why doesn¬ít Dorian finish his sentence in line 11?,6,5,He is pausing for thought,He is forcefully interrupted,He is speaking about a difficult subject and cannot go on,He is leaving his request to implication,He stops because of Alanís facial expression,0,58:14.5,16:30.0
307,worksheet,DORIAN,8,What is the favour Dorian wants from Alan?,1,4,To destroy the room upstairs,To teach him chemistry,To remove his fingerprints from the scene of the crime,To help him bury the body upstairs,To disintegrate the corpse,0,58:14.5,16:30.0
308,worksheet,DORIAN,9,"Why does Dorian say, ¬ëI was waiting for you to call me Dorian¬í (line 21)?",1,5,It is the first time Alan has addressed him in this conversation,Dorian wanted Alan to unintentionally admit their familiarity,"Dorian has been trying to rile Alan up, and he has succeeded, as Alan using his first name is informal and rude",Dorian is self-centreansimply enjoys hearing his name,Dorian dislikes his surname,0,58:14.5,16:30.0
309,worksheet,DORIAN,10,Alan suggests that he would not even ¬ëraise a finger¬í (line 22). This is an example of¬Ö,1,5,An idiom,Personification,A myth,A simile,Onomatopoeia,0,58:14.5,16:30.0
310,worksheet,DORIAN,11,¬ëmonstrous confession¬í (line 23). What does the word ¬ëmonstrous¬í tell us about Alan¬ís opinion of the confession?,2,4,He thinks it horrific,He feels that it is ridiculous,He finds it difficult to believe in its validity,He believes it is an enormous secret, He thinks it is dangerous,0,58:14.5,16:30.0
311,worksheet,DORIAN,12,What is meant by ¬ëperil¬í (line 24)?,5,5,Danger,Hazardous,Risk,Ruin, Bet,0,58:14.5,16:30.0
312,worksheet,DORIAN,13,"Why does Alan say, ¬ëHow dare you ask me, of all men in the world¬í (lines 30)?",6,5,He is astonished that Dorian would ask a stranger instead of a friend for such a favour,He is dumbfounded that he was chosen when there are so many other people who might be more knowledgeable,He is angry that Dorian would ask him for something so difficult,He is admiring Dorianís bravery,He is insulted that Dorian believes Alan would ever aid him in any way,0,58:14.5,16:30.0
313,worksheet,DORIAN,14,"What does Alan think when Dorian tells him, ¬ëIt was suicide¬í (line 26)?",6,5,It is good that the man has died,Dorian helped the man commit suicide,Dorian tormented the man in life,Dorian is lying to cover up the fact that he murderethe man,Dorian was uninvolved and is telling the truth,0,58:14.5,16:30.0
314,worksheet,DORIAN,15,"Dorian says, ¬ëWhatever my life is, he had more to do with the making or the marring of it than poor Harry has had.¬í (lines 35-36) What does the word ¬ëmarring¬í suggest about Lord Henry Wotton¬ís influence?",1,5,It has been positive,It has been negative,It has been educational,It has deformeDorianís appearance," Nothing, Lord Wotton has not been mentioned by Dorian",0,58:14.5,16:30.0
315,worksheet,DORIAN,16,Why is Alan certain that Dorian will be arrested?,1,4,Dorian is already suspect,He believes Dorian is incompetent,The man who Dorian has killed is well known,Alan intends to inform the police,Alan is certain that Dorian has left evidence of his crime,0,58:14.5,16:30.0
316,worksheet,DORIAN,17,"What type of words are the following? intended (line 4), stir (line 10), decline (line 13), induce (line 33), hang (line 49)",6,3,Nouns,Verbs,Adjectives,Adverbs,Prepositions,0,58:14.5,16:30.0
317,worksheet,DORIAN,18,In lines 57-59 Dorian carefully writes down what he wants to say instead of speaking and then walks over to the window. Why does he choose to do this?,1,5,He has grown tired of the conversation,He is afraid someone will overhear what he is about to say and walks to the window to check for eavesdroppers,He believes it will be faster and wants to check outside for police,He feels guilty about what he is about to do ancannot bear to see Alanís expression,E He is composing the letter that he plans to send and walks away to give Alan time to read it,0,58:14.5,16:30.0
318,worksheet,DORIAN,19,"What type of words are the following? searching (line 4), infinite (line 7), mad (line 20), bowed (line 48), pale (line 61)",5,4,Noun,Verbs,Adjectives,Adverbs,Prepositions,0,58:14.5,16:30.0
319,worksheet,DORIAN,20,What type of word is ¬ëhollow¬í (line 63)?,1,4,Noun,Verbs,Adjectives,Adverbs,Prepositions,0,58:14.5,16:30.0
320,worksheet,DORIAN,21,"How many verbs can you count in the sentence beginning on line 64: ¬ëAfter two or three minutes of terrible silence, ¬Ö¬í?",5,4,1,2,3,4,5,0,58:14.5,16:30.0
321,worksheet,DORIAN,22,Which word might equally convey the meaning of ¬ëalternative¬í (line 66)?,5,5,Noun,Unorthodox,Optional,Spare, Adjustment,0,58:14.5,16:30.0
322,worksheet,DORIAN,23,"Dorian says, ¬ëIf you don¬ít help me, I will send it. But you are going to help me. It is impossible for you to refuse now. I tried to spare you.¬í (lines 68-69). What do these statements suggest?",5,5,Dorian has just discovered way to ensure Alanís compliance,Dorian tried to spare Alan from helping him do this favour,Dorian is yet uncertain whether Alan will help him,Dorian knew from the beginning of the conversation that Alan woulhelp him., Alan is going to help Dorian,0,58:14.5,16:30.0
323,worksheet,DORIAN,24,"Dorian tells many lies while trying to convince Alan to help him. Which of the following, from the information provided in the passage, are we certain is TRUE ?",6,4,Dorian murdered the man upstairs,Dorian and Alan were friends in the past,Alan is a biologist,Dorian will be hung if he is caught,The man upstairs had made Dorian suffer greatly,0,58:14.5,16:30.0
324,worksheet,DORIAN,25,"Despite the grave situation, Dorian frequently makes witty remarks in the conversation. Which of the following is a display of wit?",1,5,All of the above,-1,(1) and (2),"(1), (3) an(5)","(1), (4) and (5)",0,58:14.5,16:30.0
325,worksheet,DORIAN,26,Which of the following is closest in meaning to ¬ëdictate¬í (line 71)?,1,5,Behest,Question,Announce,Determine, Read,0,58:14.5,16:30.0
326,worksheet,DORIAN,27,NULL,1,1,NULL,NULL,NULL,NULL,NULL,0,58:14.5,16:30.0
327,worksheet,DORIAN,28,NULL,6,1,NULL,NULL,NULL,NULL,NULL,0,58:14.5,16:30.0
328,worksheet,dreams of a giant life,1,How does the narrator look back?,1,2,By using a mirror,By turning around,By remembering memories,It is not stated how,NULL,0,58:14.5,16:30.0
329,worksheet,dreams of a giant life,2,What is the main feeling at the end of the first verse?,1,3,The narrator is reminiscing about life,The narrator has changed from when they were young,The narrator has changed beyond recognition,The narrator has enjoyed changing and growing,NULL,0,58:14.5,16:30.0
330,worksheet,dreams of a giant life,3,ìThe equal waters of a lovely bayî (line 8). What does this mean?,1,4,The water level was equal height everywhere,The water was flat with no waves,The water level was the equal height of the bay,The water level was as high as the cliffs,NULL,0,58:14.5,16:30.0
331,worksheet,dreams of a giant life,4,Which word would best replace ìplacidî (line 7)?,1,5,Calm,Sleeping,Exciting,Active,NULL,0,58:14.5,16:30.0
332,worksheet,dreams of a giant life,5,"ìWhite cliffs surrounded itóand calm and fair/ It lay asleep, in warm and silent air.î What poetic technique has the poet used?",1,5,Simile,Metaphor,Alliteration,Personification,NULL,0,58:14.5,16:30.0
333,worksheet,dreams of a giant life,6,What is making the giant gleam?,1,3,The light of the sun,The lighthouse,Lights coming through golden glass,The golden light,NULL,0,58:14.5,16:30.0
334,worksheet,dreams of a giant life,7,"ìI saw below me all the water lie /Expecting something, and that thing was Iî What does this mean?",1,3,He is looking for two fingers,He is holding two fingers up,He is missing two fingers,He has only two fingers,NULL,0,58:14.5,16:30.0
335,worksheet,dreams of a giant life,8,Why does the poet separate ìI stood aloneî (line 11)?,1,4,The meaning of the phrase matches how its written,To draw attention to something important,To make the reader feel alone,To help the reader put themselves in the giantís shoes,NULL,0,58:14.5,16:30.0
336,worksheet,dreams of a giant life,9,What time of the day is it in the poem?,1,2,It is sunrise,It is afternoon,It is sunset,It is not stated,NULL,0,58:14.5,16:30.0
337,worksheet,dreams of a giant life,10,"ìPure, perfect and profoundî (line 22) What writing technique is this?",1,4,Repetition,Alliteration,Onomatopoeia,Exaggeration,NULL,0,58:14.5,16:30.0
338,worksheet,dreams of a giant life,11,What word below would best replace wayfaring (line 28)?,1,5,Departing,Floating,Travelling,Returning,NULL,0,58:14.5,16:30.0
339,worksheet,dreams of a giant life,12,What does perforate (line 34) mean?,1,5,Waterproof,Wooden,Able to float,Filled with holes,NULL,0,58:14.5,16:30.0
340,worksheet,dreams of a giant life,13,ìAnd it dared the storms of fateî (line 35) What does that mean?,1,4,To attempt to sail dangerous seas,To dare the seas to do something unfavourable,The boats played truth or dare with the sea,The boats were uncertain to cross the sea,NULL,0,58:14.5,16:30.0
341,worksheet,dreams of a giant life,14,ìStorms of fateî What poetic technique is this?,1,5,Simile,Personification,Metaphor,Onomatopoeia,NULL,0,58:14.5,16:30.0
342,worksheet,dreams of a giant life,15,Why did the two boats sink?,1,3,The giantís force was too strong,The boats collided with one another,The boats evaded one another,The boats were not built properly,NULL,0,58:14.5,16:30.0
343,worksheet,dreams of a giant life,16,Who was the voice of?,1,3,Waterproof,Wooden,Able to float,Filled with holes,NULL,0,58:14.5,16:30.0
344,worksheet,dreams of a giant life,17,Which of these statements are true?,1,4,The boy captured a bar of soap in the cave,When the boy enters the magic water he turns into a giant,The boy spent more than 20 minutes in the water,"After the bath, the boy will eat dinner",NULL,0,58:14.5,16:30.0
345,worksheet,dreams of a giant life,18,Which summary best describes the poem?,1,5,"When we are little, we have wild and creative imaginations","Using our imagination, anywhere can become awesome",We can be anything we think ourselves to be,We should always find ways to have fun,NULL,0,58:14.5,16:30.0
346,worksheet,economics,1,"What definition, based on the text, best defines what an Economy is?",1,3,The economy is a big game with three main players,The economy is a game where players try to earn the most money,The economy is the many interactions between different groups,The economy is created by the politicians,NULL,0,58:14.5,16:30.0
347,worksheet,economics,2,What word is most similar to ëprocureí as it has been used in the text?,1,3,Cure,Save,Exchange,Obtain,NULL,0,58:14.5,16:30.0
348,worksheet,economics,3,Why do politicians disagree over how to spend the money? Read the statements below and choose the options which best fit the answer.,1,4,"1, 2 and 3",Just 2,Just 3,2 and 3,"2, 3 and 4",0,58:14.5,16:30.0
349,worksheet,economics,4,"An 'economist' is a job. Based on what you have read, which one of these best describes what they do?",1,4,Study how to make their country richer and others poorer,Debate with politicians how to spend the money,Study how the players in an economy can earn more money and spend less,All of the above,NULL,0,58:14.5,16:30.0
350,worksheet,economics,5,Who or what announces the amounts spent on NHS?,1,2,The Chancellor,Fiscal Policy,Politicians,The Budget,Government,0,58:14.5,16:30.0
351,worksheet,economics,6,Why does the government need to collect tax?,1,2,The government does not earn any money,The government works for free so they need to collect money,The government needs money to pay for things everybody uses,The government cannot operate without tax money,NULL,0,58:14.5,16:30.0
352,worksheet,economics,7,"Which of these statements is true, based on the text?",1,4,How much tax you must pay is Fiscal Policy,The Budget contains information on how much you are paid by a job,Fiscal Policy decides how much you pay toward your bills,Paying money to people who are unable to work is Fiscal Policy,NULL,0,58:14.5,16:30.0
353,worksheet,economics,8,How often is the Budget announced?,1,2,Once a month,Every three months,Once a year,Twice a year,NULL,0,58:14.5,16:30.0
354,worksheet,economics,10,What thing is responsible for influencing how much money is spent or saved?,1,4,The amount of money they are taxed,Whether there are a lot of things to buy ie Christmas,How much people earn from their work,The rate of interest the bank gives you for keeping money there,NULL,0,58:14.5,16:30.0
355,worksheet,economics,11,"If the Government spent more money on technology like faster internet, faster trains, and virtual assistants, what is one benefit that could happen?",1,5,People would be able to stream videos faster,People could play games online without lag,People could earn more money since they could do more work,Virtual assistants could take the jobs of people and people would work less,NULL,0,58:14.5,16:30.0
356,worksheet,fauntleroy,1,What do you think the word ëmoistí means in line X?,1,2,Closed,Harsh,Tear-filled,Bright and shimmering,NULL,0,58:14.5,16:30.0
357,worksheet,fauntleroy,2,How are you made aware that this is a difficult conversation for Cedric?,1,3,He has to say goodbye to Dick,He found it difficult to speak properly,Dick was his good friend,He is only a young boy and doesnít know how to be a Lord,NULL,0,58:14.5,16:30.0
358,worksheet,fauntleroy,3,Dick ìswallowed a lump in his throatî (line X). Why does he do this?,1,4,He had to finish swallowing his food so he could speak.,He was clearing his throat to speak.,He was trying to hide how he really felt.,He was trying to change the sound of his voice.,NULL,0,58:14.5,16:30.0
359,worksheet,fauntleroy,4,Why does Dick say ìThankyî (line X) instead of ëthank youí?,1,2,It is short for ëthank youí.,He doesnít know how to say ëthank youí.,He is uneducated.,He has an accent.,NULL,0,58:14.5,16:30.0
360,worksheet,fauntleroy,5,What does the word ëhuskyí (line X) show us about how Dick is feeling?,1,3,Strong and powerful,Large and eloquent,Tired and exhausted,Upset and raw,NULL,0,58:14.5,16:30.0
361,worksheet,fauntleroy,6,What kind of phrase is ëa mist in his eyesí (line X)?,1,4,Metaphor,Personification,Symbol,Simile,NULL,0,58:14.5,16:30.0
362,worksheet,fauntleroy,7,What sort of movement would you expect to see if someone moves ëgaylyí?,1,2,Elegantly,Happily,Awkwardly,Rigidly,NULL,0,58:14.5,16:30.0
363,worksheet,fauntleroy,8,What is the ëlittle figureí (line X)?,1,2,The pet dog,Lord Fauntleroy,The present Cedric brought for Dick,Mr. Havisham,NULL,0,58:14.5,16:30.0
364,worksheet,fauntleroy,9,What do you understand by the phrase ìGloom had settled upon Mr. Hobbs; he was much depressed in spirits.î (line X),1,5,The weather is gloomy and is making Mr. Hobbs moody,Mr. Hobbs feels overwhelmed by sadness,Mr. Hobbs is drinking a lot of alcohol because he is upset,Gloom has just moved into the house and he is very moody,NULL,0,58:14.5,16:30.0
365,worksheet,fauntleroy,10,Who is Mr. Hobbsí ìyoung friendî (line X)?,1,2,Cedric Errol,Mr. Havisham,Dick,It is not mentioned.,NULL,0,58:14.5,16:30.0
366,worksheet,fauntleroy,11,How do Mr. Hobbs and Dickís feelings differ to the news of Cedric leaving?,1,5,Mr. Hobbs is sad but Dick is not,Dick is sad but Mr. Hobbs is not,They are both just as sad as each other,Neither of them are sad.,NULL,0,58:14.5,16:30.0
367,worksheet,fauntleroy,12,What is the purpose of the gold watch and chain?,1,3,It is a gift from winning a competition,It is a goodbye gift from Cedric,It is an expensive gift prepared for Dick,It is a gift for Mr. Hobbs so that he can tell the time better,NULL,0,58:14.5,16:30.0
368,worksheet,frankenstein,1,Which of these descriptions best describes the demands of the work?,1,4,The writer does not know the friend's name,It is speech,The writer is quoting someone else,It is exaggeration,NULL,0,58:14.5,16:30.0
369,worksheet,frankenstein,2,Which option best describes how the narrator feels about his work?,1,5,Accrued,Familiar,Permitted,Ordered,NULL,0,58:14.5,16:30.0
370,worksheet,frankenstein,3,Which of these statements are false?,1,5,Vulnerable,Infuriated,Disappointed,Denial,NULL,0,58:14.5,16:30.0
371,worksheet,frankenstein,4,What does the narrator suggest was the biggest influence for continuing his work?,1,5,Greeting,Saying,Response,Replacement,NULL,0,58:14.5,16:30.0
372,worksheet,frankenstein,5,¬ìEvery night I was oppressed by a slow fever¬î. What writing technique is this?,1,4,Formed is when you meet Settled is when you are friends,Formed is when you judge someone and their character Settled is when you trust someone,Formed is when the friendship is being made Settled is when the friendship is finally made,There is no difference,NULL,0,58:14.5,16:30.0
373,worksheet,frankenstein,6,Which of these statements are true?,1,5,"Call them a friend C A, B, C","Understand the person D D, B, A",Think about if you would trust that person,Meet the person,NULL,0,58:14.5,16:30.0
374,worksheet,frankenstein,7,¬ìWith an anxiety that almost amounted to agony¬î. What does this line suggest?,1,4,None at all,Some of them,Most of them,All of them,NULL,0,58:14.5,16:30.0
375,worksheet,frankenstein,8,What clue suggests that the narrator had spent a long time in the evening working?,1,3,Your own fault because you judged them wrongly,You own fault because you did not trust them enough,Their fault because they should have been loyal,Their fault because they did not regard you as a friend,NULL,0,58:14.5,16:30.0
376,worksheet,frankenstein,9,¬ìThe rain pattered dismally against the panes¬î. What writing technique has the writer used here?,1,4,You should not trust yourself with anything you trust with your enemies,You should live while only trusting yourself and not your enemies What does this phrase mean?,You should not trust yourself with anything you wouldn't trust with your enemies,You should live with trust for yourself and for your enemies,NULL,0,58:14.5,16:30.0
377,worksheet,frankenstein,10,What or who is the narrator describing as a ¬ëcatastrophe¬í?,1,5,Extended metaphor,Emotional Language What language device is used here?,Rhetorical question,Hypothetical question,NULL,0,58:14.5,16:30.0
378,worksheet,frankenstein,11,"Read the description of the body from lines 21 to 31, what option best fits with the description?",1,5,Deceitful,Inexperienced,Dangerous,Troubled,NULL,0,58:14.5,16:30.0
379,worksheet,frankenstein,12,Why did the narrator deprive himself of health and rest?,1,5,Enjoying excitement is not natural,Enjoying excitement is not taught What does the writer mean by this?,Enjoying commotion is not hard work,Enjoying commotion is not taught,NULL,0,58:14.5,16:30.0
380,worksheet,frankenstein,13,What happened as soon as the narrator achieved his goal?,1,5,Metaphor,Adjective,Adverb,Verb,NULL,0,58:14.5,16:30.0
381,worksheet,frankenstein,14,What genre would you say this is?,1,3,NULL,NULL,NULL,NULL,NULL,0,58:14.5,16:30.0
382,worksheet,friendship,1,Why is the word ìfriendî in quotation marks (line X)?,1,4,The writer does not know the friendís name,It is speech,The writer is quoting someone else,It is exaggeration,NULL,0,58:14.5,16:30.0
383,worksheet,friendship,2,What does ìaccustomedî (line X) mean?,1,4,Accrued,Familiar,Permitted,Ordered,NULL,0,58:14.5,16:30.0
384,worksheet,friendship,3,Which best describes how the writer feels about the recipientís actions?,1,5,Vulnerable,Infuriated,Disappointed,Denial,NULL,0,58:14.5,16:30.0
385,worksheet,friendship,4,What word would best replace ìsalutationî in line X?,1,4,Greeting,Saying,Response,Replacement,NULL,0,58:14.5,16:30.0
386,worksheet,friendship,5,"From the use of the words, what is the difference between when friendship is ìsettledî (line X) and ìformedî (line X)?",1,5,Formed is when you meet. Settled is when you are friends.,Formed is when you judge someone and their character. Settled is when you trust someone.,Formed is when the friendship is being made. Settled is when the friendship is finally made.,There is no difference.,NULL,0,58:14.5,16:30.0
387,worksheet,friendship,6,What order of tasks does the writer suggest one should do before making friends? ,1,5,Call them a friend ,Understand the person,Think about if you would trust that person, Meet the person,NULL,0,58:14.5,16:30.0
388,worksheet,friendship,7,How many secrets does the writer recommend you share with a friend?,1,4,None at all,Some of them,Most of them,All of them,NULL,0,58:14.5,16:30.0
389,worksheet,friendship,8,"According to the text, if your friend shares your secret to someone else, whose fault is it and why?",1,5,Your own fault because you judged them wrongly,You own fault because you did not trust them enough,Their fault because they should have been loyal,Their fault because they did not regard you as a friend,NULL,0,58:14.5,16:30.0
390,worksheet,friendship,9,ìYou should live in such a way that you trust your own self with nothing which you could not entrust even to your enemyî What does this phrase mean?,1,5,You should not trust yourself with anything you trust with your enemies,You should live while only trusting yourself and not your enemies,You should not trust yourself with anything you wouldnít trust with your enemies,You should live with trust for yourself and for your enemies,NULL,0,58:14.5,16:30.0
391,worksheet,friendship,10,ìWhy need I keep back any words in the presence of my friend?î What language device is used here?,1,5,Extended metaphor,Emotional Language,Rhetorical question,Hypothetical question,NULL,0,58:14.5,16:30.0
392,worksheet,friendship,11,"The author describes the first type of men to be ìingenuousî (line X), what does this mean from the way itís been used?",1,5,Deceitful,Inexperienced,Dangerous,Troubled,NULL,0,58:14.5,16:30.0
