Source,PassageName,QuestionId,Question,A,B,C,D,E
worksheet,friendship,14,"ìDiscuss the problem with Nature; she will tell you that she has created both day and night.î According to the text, what does the writer suggest is the reason Nature created both day and night?",So that she can have both but at different times,So she can have a good balance between the two,Because blending the two would be a bad idea,Because it is important to do one thing at a time,NULL
worksheet,frost,1,What does the Frost mean by they will be ìout of sightî (line 2)?,They will close their eyes,They will hide,They will start their journey,They will leave the train,NULL
worksheet,frost,2,Which best describes the movement of the frost through the valley?,Whispering,Bustling,Silently,Blustering,NULL
worksheet,frost,3,Why doesnít the Frost want to be with the other weather?,The Frost likes to act alone,The others are too loud and noisy,The others rush around and make noise for no reason,The others are busy following the train,NULL
worksheet,frost,4,What does the frost do to the trees?,The frost turns them on like lights,The frost decorates the branches with ice,The frost powders the leaves with snow,The frost creates icicles on the branches that sparkle,NULL
worksheet,frost,5,Why is the lake quivering?,It is shivering because the weather is so cold,It is scared of becoming frozen by the cold,It is surrounded by danger,It is alone with nothing else far or near,NULL
worksheet,frost,6,What does the Frost do to help the lake?,He strengthens the lake by freezing it,He creates a thin sheet of armour for the lake,He soothes the lake by explaining why it does not need to be afraid,He turns the spears away,NULL
worksheet,frost,7,"ìWherever he breathed, wherever he sleptî (line 19) What does this show us about the Frost?",He can be found everywhere,The creations he made during his sleep can only be seen at moonlight,He creates beauty where ever he is,His breath can only be seen at night,NULL
worksheet,frost,8,What is a synonym of ìbeviesî (line 22)?,Swarms,Masses,Flocks,Myriad,NULL
worksheet,frost,9,Which of the following is not a use of personification?,And over each pane like a fairy crept (line 17),Where a rock could rear its head (line 16),"Wherever he breathed, wherever he slept (line 17)",He peeped in the cupboard (line 26),NULL
worksheet,frost,10,ìThat all had forgotten for him to prepareóî (line X) Which of the following has the same meaning as the line above?,That he had forgotten to prepare gifts,That he had forgotten to prepare everything,That the world had forgotten to prepare for him,That the household had forgotten to prepare for him,NULL
worksheet,frost,11,Why is ìtchick!î (line X) in italics?,It is as if the glass is talking,It is onomatopoeia,It is used for emphasis,It is a made-up sound,NULL
worksheet,frost,12,"From the first stanza, which word is a preposition? a) Forth b) Now c) My d) Way",a) Forth,b) Now,c) My,d) Way,NULL
worksheet,frost,13,What word best replaces ëcrestí on line 9? a) Rim b) Rocks c) Apex d) Surface,a) Rim,b) Rocks,c) Apex,d) Surface,NULL
worksheet,frost,14,"Which statement best summarises the personality of the Frost? a) The Frost creates a brand new world, beautiful or ruinous b) The Frost is uncaring, intimidating and heartless to nature c) The Frost is determined to cover up everything and go far and wide","a) The Frost creates a brand new world, beautiful or ruinous","b) The Frost is uncaring, intimidating and heartless to nature",c) The Frost is determined to cover up everything and go far and wide,d) The Frost is loved by all for its beauty,NULL
worksheet,frost,15,Which statement best describes the weather conditions? a) Snowy b) A full moon c) Cloudless d) Misty,a) Snowy,b) A full moon,c) Cloudless,d) Misty,NULL
worksheet,frost,16,"Compared to other weather conditions, what impression do you have of Frostís personality? Use PEE (3 marks)",NULL,NULL,NULL,NULL,NULL
worksheet,frost,17,What effect is created when the poet writes that Frost moved ìlike a fairy creptî? Use PEE (3 marks),NULL,NULL,NULL,NULL,NULL
worksheet,gatsby,1,Which one of these statements is true?,Guests were free to come and go as they pleased,Music played throughout the year,Guests were freely able to use one of his three motorboats,Guests came from the city by boats,NULL
worksheet,gatsby,2,Which one of these statements is false?,The lake is named the Sound,The station travelled quickly and excitedly to pick up guests from the station,Ten people would need to clean up after the parties,The parties were filled with great luxuries,NULL
worksheet,gatsby,3,Which one of these tools was not used by the servants?,Mops,Garden shears,Hammers,Dustpan,NULL
worksheet,gatsby,4,The author writes ìthe whisperings and the champagne and the starsî. What is the effect of this?,It demonstrates how list rules do not always need to be followed,The whisperings and the champagne are a pair of things,It makes the list feel extra long to emphasise that the party is also extra big,It highlights how extravagant the party host is,NULL
worksheet,gatsby,5,Which phrase highlights how much food there was at the party?,Several hundred feet of canvas,Hams crowded against salads,Turkeys bewitched to a dark gold,Garnished with glistening hor-díoeurves,NULL
worksheet,gatsby,6,What writing technique is used when it says ìGarnished with glistening hor-díoeurvesî?,Simile,Metaphor,Onomatopoeia,Alliteration,NULL
worksheet,gatsby,7,Why does the writer say that the pastry pigs and turkeys were ìbewitchedî to a dark gold instead of ëcookedí?,It makes it sound more magical since it is a magical story,It makes the food appear more impressive than it already is,To make the food sound poisoned or more evil,To increase how delicious the food appears to the guests,NULL
worksheet,gatsby,8,What instrument did the pitiful orchestra not bring with them?,Piano,Trombones,Drums,Piccolos,NULL
worksheet,gatsby,9,Why does the author add ërealí to ëreal brass railí?,To show how brass is usually difficult to obtain,To make sure they use alliteration,It sounds nice to describe it this way,It was only a random coincidence,NULL
worksheet,gatsby,10,Which description best fits the orchestra that arrived?,Unnecessary and skilled,Grand and extravagant,Detailed and long,Tranquil and peaceful,NULL
worksheet,gatsby,11,ìUntil the air is alive with chatter and laughterî What two writing techniques are used here?,Personification and simile,Onomatopoeia and metaphor,Personification and onomatopoeia,Hyperbole and alliteration,NULL
worksheet,gatsby,12,What is the effect of the technique used in ìUntil the air is alive with chatter and laughterî from the above question?,It creates a jovial atmosphere in the party,It shows that the energy cannot be contained any long,It draws attention to the fact the party is just getting started,It suggests that the air itself is alive is a party guest itself,NULL
worksheet,gatsby,13,"What does ìThe bar is in full swing, and floating rounds of cocktails permeate the garden outsideî mean?",Plenty of drinks are being served at the bar while guests in the garden receive theirs,People are swinging on bars as as spilt drinks spread into the garden floor,People are swinging bars as they serve drinks in the garden,Drinks at the bar are being swung out as spilt drinks spread into the garden floor,NULL
worksheet,gatsby,14,Which statement best describes how guests meet each other?,In high spirits and eagerly,Quickly and rude,Unknowingly and indifferent,Amusingly and significantly,NULL
worksheet,gatsby,15,Which line from the text highlights that guests quickly arrive?,The last swimmers have come in from the beach,Enthusiastic meetings between women who never knew each otherís names,"Swell with new arrivals, dissolve and form in the same breath",The party has begun,NULL
worksheet,gatsby,16,"ìSuddenly one of the guests, in trembling opal, seizes a cocktail out of the airî Which word is the adjective?",Trembling,Opal,Seizes,Cocktail,NULL
worksheet,gatsby,17,What is the narrator suggesting when they say ìPeople were not invited ó they went there.î?,That they are not as important as he is,That the other guests are rude and impolite for attending,That the other guests just follow one another to big events,That they are closer in relations to Gatsby,NULL
worksheet,gatsby,18,Why does the writer put ëlittle partyí in speech marks?,To show Gatsby understated the party in order to convince the narrator to come,To show the reader that Gatsby did think this party is little,To highlight that the narrator is somewhat annoyed at Gatsby,To emphasise that Gatsby made a big mistake on how many people would come,NULL
worksheet,gibson,1,How do you know the letter is set in the future?,Aliens are from the future,The technology is not possible at the moment,The date the letter was sent is based in the future,We do not have access to laser beams yets,NULL
worksheet,gibson,2,When was the alien invasion?,Four nights ago,A week ago,Two weeks ago,It is not mentioned,NULL
worksheet,gibson,3,Which of these things has the doctor NOT mentioned?,What he needs,His occupation,The quantity of casualties,What resources he has,NULL
worksheet,gibson,4,"What effect is created when the writer says ""superior strength, dominant physical appearance and intelligence, their one glaring weakness is saltwater.""?",It emphasises how simple their weakness compared to their strengths,It is designed to scare the reader,It highlights just how powerful the creatures are,It showcases what their weakness is,NULL
worksheet,gibson,5,How much water is needed to defeat the aliens?,A large amount,A tiny amount,Barely a drop,It is not stated,NULL
worksheet,gibson,6,"What writing technique is ""disintegrate as if it were a fire burning through paper""?",simile,metaphor,personification,Zoomorphism,NULL
worksheet,gibson,7,Which word best replaces 'rudimentary' as it is used in the text?,complicated,rude,surprising,basic,NULL
worksheet,gibson,8,Why was Skyler forced to write a letter?,So that he remains hidden from the aliens,There was no other way to communicate with others,The aliens control the other ways of communicating,It is not stated.,NULL
worksheet,gibson,9,which definition best describes what 'intel' means?,information related to the enemy,stolen information,secret information,information about an incoming attack,NULL
worksheet,gibson,10,Which summary best summarises the fourth paragraph's information?,"Despite being strong and able to kill easily, aliens are stationary and slow","Despite being incredibly strong and lethal, countering them is easier than it seems",When they use their laser beams their body becomes big and slow,"After they use their laser beams, the aliens are unable to move so that's when you counter",NULL
worksheet,gibson,11,Which of these options is false?,Aliens have access to incredible technology that humans do not have.,All aliens have a dagger filled with a lot of technology,After shooting their lasers you are safe to attack the aliens,You cannot overpower the aliens physically,NULL
worksheet,gibson,12,Which of these things is something an alien cannot do?,Break things with their hands,shoot fire,shoot lasers,Calculate things quickly,NULL
worksheet,gibson,13,What does Gibson Skyler say that is a big difference between aliens and humans?,Aliens do not care for one another,Aliens do not fear humans,Aliens do not know they will be ambushed,Aliens have a big variety between the different types,NULL
worksheet,gibson,14,What is surprising about Gibson Skyler's plan?,It requires incredibly talented individuals to execute the plan,The solution is simple and child-like but not necessarily easy,He is revealing way too much information in a letter,It sounds impossible,NULL
worksheet,gibson,15,What is a big difficulty Gibson Skyler and humanity face?,Staying hidden from the aliens,Not revealing their plan to ambush the aliens,Building a long-range water pistol,Being able to kill all the aliens,NULL
worksheet,gibson,16,What is the purpose of Skyler's mission?,to retake the land,to exterminate the aliens,to save individuals,to build a big fortress,NULL
worksheet,gibson,17,Why did sign the letter off in a weird way?,He is not very formal and not being polite,It is how people speak in the future,It is a more appropriate way to end the letter,It was a mistake,NULL
worksheet,growth,1,Which one of these words is also an abstract noun?,Sad,Delight,Joyful,Tearful,NULL
worksheet,growth,2,What does the text mean when it says it is ìtrendyî?,It is more popular recently,To follow a trend,It is more accurate to say there are two mindsets,It is easier nowadays to speak about mindsets,NULL
worksheet,growth,3,What is another word for situated?,Located,Situation,Site,Scenario,NULL
worksheet,growth,4,Which of these statements best defines what a spectrum is?,"A real, physical line where every possible level can exist",A range of different points in between two endpoints,A list of every possible option,None of the above,NULL
worksheet,growth,5,Which one of these statements best explains the effects of the two mindsets,You can switch between the two mindsets to have two perspectives of the same thing,Depending on your mindset you can never understand how others feel,"Based on the mindset you have, the same event will appear different",Your mindset is set in stone and you will view all things the same,NULL
worksheet,growth,6,Why does the text describe complex things like a game?,To relate to the reader better,To help them understand that even difficult things can be engaging and fun,To offer an alternative point of view on something difficult,All of the above,NULL
worksheet,growth,7,"Based on the explanation of a growth mindset, which of these statements is an advantage of a growth mindset?",It means you can do absolutely everything,It gives you the power to overcome any challenge,You are not afraid of failure but embrace it to make improvements,You protect yourself because you avoid failure and mistakes,NULL
worksheet,growth,8,What is a major disadvantage of the fixed mindset?,We avoid trying to improve because we think our level is just fixed forever,We constantly put ourselves in situations where we fail,We are constantly embarrassed about our past,It makes us more emotional,NULL
worksheet,growth,9,Which one of these statements is true?,The gap between your talent and someone elseís will never change,We can change our mindsets once we realise that we cannot improve without failing,"Once someone is better than us, they will always be better than us",Having a growth mindset will stop us from trying new things because it is scary to fail,NULL
worksheet,growth,10,"What writing technique is ìOn the other hand, the Fixed mindset makes us feel like we are in prison inside our mindsî?",Metaphor,Personification,Simile,Onomatopoeia,NULL
worksheet,growth,11,What effect is created with this sentence?,It makes you imagine a prison inside of your mind,It creates a vivid picture of your mind as a prison,It creates a picture of you stuck and trapped by your own thoughts,None of the above,NULL
worksheet,growth,12,Which one of these statements is false?,It is natural to feel upset and disappointed about failure even if you have a growth mindset,"If you never try to correct your mistakes or practise, then the invisible gap will always exist","Once you have a fixed mindset, all is lost and there is no point in trying",You should stick to things you know and are good at,NULL
worksheet,growth,13,Select two ways to grow your growth mindset,Fail more often,Get more feedback,Stick to the same activities,Try learning magic,Watch experienced people
worksheet,gulliver,1,What caused the crew to spot the rock late?,Fog caused low visibility,The rock was submerged by water,The wintery weather hid the rock,The rock was too small,NULL
worksheet,gulliver,2,How did the narrator and the crew get away from their ship?,They dropped into the sea and swam,They took rowing boat into the sea,They managed to redirect their ship just in time,Some stayed to navigate the ship while the others were in the water,NULL
worksheet,gulliver,3,What do you think the phrase ëspent with labourí (line 7) means?,Spending money instead of labour,Spending labour instead of money,Using up all your energy from work,Being able to continue working,NULL
worksheet,gulliver,4,What line in the first paragraph means they did nothing but wait and see?,trusted ourselves to the mercy of the waves,The boat was overset by a sudden flurry,We were able to work no longer,"The wind was so strong, that we were driven directly",NULL
worksheet,gulliver,5,Which of these statements is true?,Everybody that was on the boat eventually died,The narrator and one other swam to shore,The sea was too deep for the narrator to stand,The wind and tide was stopping the narrator from swimming to shore,NULL
worksheet,gulliver,6,What word would best replace the word ëabateí (line 15)?,Strengthened,Destructive,Calmer,Clearer,NULL
worksheet,gulliver,7,What was the reason for the narrator not spotting any houses?,He did not observe them,He was too drunk,He was too weak,They were hidden,NULL
worksheet,gulliver,8,What was not mentioned as a reason for being so tired?,Drinking alcohol,The temperature,The ground being comfortable,Being up all night,NULL
worksheet,gulliver,9,What word best replaces the word ëstirí (line 24)?,Mix,Toss,Move,Scream,NULL
worksheet,gulliver,10,Which one of these statements is true?,The narrator was lying on their back,The narratorís arms and legs were tied together,The narrator felt movement crawling up their back,The narrator had thick hair,NULL
worksheet,gulliver,11,How tall were the tiny human creatures?,NULL,NULL,NULL,NULL,NULL
worksheet,gulliver,12,What season was it during the story?,NULL,NULL,NULL,NULL,NULL
worksheet,gulliver,13,How far did the crew row?,NULL,NULL,NULL,NULL,NULL
worksheet,gulliver,14,How far did the narrator walk in the water?,NULL,NULL,NULL,NULL,NULL
worksheet,homing pigeon,1,Which one options below is not mentioned as the purpose of the manual?,How to breed pigeons properly,How to train pigeons properly,How to care for pigeons properly,How to choose a team for the pigeons properly,NULL
worksheet,homing pigeon,2,"From the way it has been used in the text, what does ìpigeoneersî mean line 2?",A special pigeon,Someone who trains the pigeons,The team of pigeons,A pigeon going through training.,NULL
worksheet,homing pigeon,3,What does ìThe methods prescribed in this manual are based upon experienceî mean?,The methods in the manual have been created from scientific experiments,People who have hardly worked with pigeons have made the manual,People who have spent years working with pigeons have made the manual,The methods in the manual have not been tested enough,NULL
worksheet,homing pigeon,4,Why would someone need to contact the Chief Signal Officer?,For them to know if you make changes to the manual,To tell them you have found a new procedure,To tell them about your experience with the pigeons,For them to consider a new procedure that might need to be added to the manual,NULL
worksheet,homing pigeon,5,How many different ways are there to refer to the homing pigeon?,1,2,3,4,NULL
worksheet,homing pigeon,6,Which one of these statements is true?,The homing pigeon has been carefully cross-bred so that it can find any location,There are different groups of homing pigeons,Homing pigeon strains are given the name of the characteristic they were bred for,The homing pigeons are used by members of the public for signal communication,NULL
worksheet,homing pigeon,7,How many varieties of homing pigeons are known to have existed before the nineteenth century?,4,5,6,7,NULL
worksheet,homing pigeon,8,What piece of information is not mentioned?,When homing pigeons came from,Why pigeons are carefully cross-bred,What homing pigeons are grouped by,Different types of the first homing pigeons,NULL
worksheet,homing pigeon,9,Why homing pigeons used as messengers?,They have a strong desire to get back home,They are trained to come home,They have an internal signal that shows them the way home,All animals are able to find their way home,NULL
worksheet,homing pigeon,10,Which one of these statements is false?,The pigeon only has one mate,Pigeons return home to be with their mate and eat,Cumulet is a variety of homing pigeon,Homing pigeons will return home with messages or heavy parcels attached to them,NULL
worksheet,homing pigeon,11,How do we measure how useful a homing pigeon is?,By measuring how fast it can fly at top speed,By seeing whether it will fly away by itself,By weighing how much it can carry,By measuring how often it will return back home safely,NULL
worksheet,homing pigeon,12,What is another word for ëhandicapí line ______?,A glove,A disaster,A disadvantage,A competition,NULL
worksheet,homing pigeon,13,Complete this statement with the explanation that fits best. ìPigeonsí natural need to return home means thatÖî,They have an uncontrollable feeling to return home,The desire to return home is too strong,Pigeons are born with the urge to return home,It is natural to return home,NULL
worksheet,homing pigeon,14,"Based on the information in the text, complete the sentence. It will be a disadvantage if the standards of pigeon training is ____.",Blocked,Decrease,Reduced,Unstructured,NULL
worksheet,homing pigeon,15,What does ëdistinct varietyí suggest about homing pigeons?,They differ greatly from other birds,They have distinctive marks and characteristics,They differ even among other homing pigeons,They have to be treated entirely different from normal birds,NULL
worksheet,homing pigeon,16,"Using evidence, explain how you know this was written a long time ago. (3 marks)",A),NULL,NULL,NULL,NULL
worksheet,homing pigeon,17,"In your own words and using full sentences, summarise what you learn from this training manual (4 marks).",A),NULL,NULL,NULL,NULL
worksheet,honeybees,1,What does the word ìastoundingî (line 1) mean?,Insignificant,Ordinary,Surprising,Remarkable,NULL
worksheet,honeybees,2,What word could replace ìrelyî (line X) in the text?,Give,Depend,Need,Survive,NULL
worksheet,honeybees,3,Complete the sentence. ìPollen is___î,Made by honey bees,A type of flower,The reproductive part of a plant,Fruits and vegetables,NULL
worksheet,honeybees,4,What makes honey?,Nectar,Pollen,Bees,Protein,NULL
worksheet,honeybees,5,What is the collective noun of bees called?,Swarm,Community,Colony,It is not mentioned,NULL
worksheet,honeybees,6,The bees are described to function ìas a single organismî (line X). What does this mean?,All the bees are the same,All the bees do the same job,All the bees need each other to survive,All the bees live in the same hive,NULL
worksheet,honeybees,7,"According to the passage, which of these statements is true?",Bees are antisocial animals,Bees change roles within the hive,Bees can live alone,Bees are organized in groups,NULL
worksheet,honeybees,8,"According to the text, what is the purpose of the queen?",Lay eggs,Make honey,Make pheromones,Collect pollen,NULL
worksheet,honeybees,9,A queen can:,Influence the other bees,Live for several years,Lay one million eggs a year,Lay eggs in Spring,NULL
worksheet,honeybees,10,"According to the text, how many eggs can a queen produce in one week?",One thousand,Five thousand,Seven thousand,Two hundred and fifty thousand,NULL
worksheet,honeybees,11,"Worker bees are..According to the author, which members of the hive are most essential?",The male bees,The bees who lay eggs,The bees who find pollen,The minority in the colony,NULL
worksheet,honeybees,12,The author says that the worker bees ìconstitute the majority of the colonyî (line X). What does this mean?,They allow the majority of the colony,They form the majority of the colony,They provide the majority of the colony,They mean the majority of the colony,NULL
worksheet,honeybees,13,The author states that the bees ìfail to see the fruits of their labourî (line X). What does this refer to?,The hard-working bees,The bees who die,The fruit the bees get pollen from,The work it takes to find pollen,NULL
worksheet,honeybees,14,Drones can:,Feed the colony,Reproduce,Remove debris from the hive,Help maintain the hive,NULL
worksheet,honeybees,15,"In the passage, the drones are described as ìexpendableî (line X). What does this tell the reader?",Lazy,Significant,Inessential,Crucial,NULL
worksheet,honeybees,16,Honey bee communities are:,Thriving,Growing,Limited,Endangered,NULL
worksheet,honeybees,17,To help honey bees you can:,Plant trees,Build homes,Make bigger gardens,Find honey bee communities,NULL
worksheet,honeybees,18,Which statement is FALSE,Worker bees live for two months,Drones live for five to six months,The queen can live for five or more years,Worker bees can live for more than two months,NULL
worksheet,honeybees,19,"According to the text, which statement is false",Worker bees are considered superior to drones.,Drones are completely nonfunctional,The queen is superior to the other members.,The queen directly affects the lifespan of worker bees and drones.,NULL
worksheet,honeybees,20,"Using your knowledge of the text, what could be a possible consequence of honey bee extinction?","Herbs like rosemary, chives, and basil will no longer grow",Pollen will no longer exist,Extinction of some animals,Climate change will worsen,NULL
worksheet,huck,1,Which of the following is true?,The scoundrels tricked Jim into giving them $40,The scoundrels sold Jim to his old owner for $40,The scoundrels sold Jim to a stranger for $40,The scoundrels gave Jim $40 to leave,NULL
worksheet,huck,2,Who are the scoundrels?,Slave catchers,Strangers,People Huck and Jim had done in,People Huck and Jim had helped,NULL
worksheet,huck,3,Which of the following must be false?,Huck knows Tom Sawyer,Tom Sawyer knows Miss Watson,Jim wants to be home with his family,Miss Watson was Jimís family,NULL
worksheet,huck,4,How does Huck feel about having helped Jim get his freedom?,Proud,Embarrassed,Confused,Brave,NULL
worksheet,huck,5,Why was Huck scared?,He thought he had done something evil,He thought someone had been watching him,He thought God was watching all the time,He thought he would be slapped,NULL
worksheet,huck,6,Which of the following is a reason why Huck thinks it isnít his fault that heís wicked?,He didnít go to Sunday-school,He was brought up badly,Owning slaves is wrong,Jim was very kind to him,NULL
worksheet,huck,7,What is the ëeverlasting fireí (line 30)?,Prison,Heaven,Hell,Purgatory,NULL
worksheet,huck,8,Why did Huck shiver (line 31)?,Thinking of fire made him cold,Being brought up badly made him scared,He didnít want to pray,He was scared he was to blame for skipping Sunday-school,NULL
worksheet,huck,9,Huck uses a lot of incorrect grammar. What is the correct past tense of ëkneeled downí?,kneelt down,knelt down,kneeld down,kneeled down,NULL
worksheet,huck,10,Why couldnít Huck pray?,He didnít know what to say,He knew he wasnít telling the truth,He wanted to try hiding,He didnít know how to be a better boy,NULL
worksheet,huck,11,What was Huck going to pray about?,Asking God to set Jim free,Asking God not to send him to hell,Telling God that it wasnít his fault,Telling God that he was going to write a letter to Miss Watson,NULL
worksheet,huck,12,How does Huck feel immediately after writing the letter?,glad and excited,good and washed clean of sin,thoughtful,afraid,NULL
worksheet,huck,13,Why did Huck start thinking after writing his letter?,He thought giving Jim up was wicked,He was scared of hell,He wasnít sure what to do,He was glad he had done the right thing,NULL
worksheet,huck,14,What best describes Huckís opinion on slavery?,He thinks all black people must be slaves,He thinks itís evil,He just accepts that itís normal,He doesnít understand it,NULL
worksheet,huck,15,Which of the following best describes Huck and Jimís relationship?,They have traveled together for a long time but arenít very fond of one another,"Jim is very caring towards Huck, but Huck doesnít like him",They get along very well but would feud and strike each other at times,They are close friends and Jim looks out for Huck,NULL
worksheet,i have a dream,1,What writing technique is used in the phrase ëIt came as a joyous daybreak to end the long night of captivityí (line 6-7)?,alliteration,simile,metaphor,onomatopoeia,NULL
worksheet,i have a dream,2,How long has it been since slavery ended?,It hasnít ended,Five years ago,Twenty years ago,One hundred years ago,NULL
worksheet,i have a dream,3,What did the cheque (line 15) or note (line 17) promise to everyone?,Money,"Right to life, liberty and the pursuit to happiness",Every American to fall heir,Funds,NULL
worksheet,i have a dream,4,Where was the promise for equal rights written?,The Constitution and the Declaration of Independence,The Bank of America,The Emancipation Proclamation,They have not been written,NULL
worksheet,i have a dream,5,Which of the following is true?,America has no money,The bank wonít give money to black people,The bank wonít give freedom and justice to black people,America wonít give freedom and justice to black people,NULL
worksheet,i have a dream,6,Which of the following is a promise of democracy?,the valley of segregation,the path of racial justice,the quicksands of racial injustice,the tranquillising drug of gradualism,NULL
worksheet,i have a dream,7,When do the ëwhirlwinds of revoltí (line 45) mentioned in the speech occur?,"In Summer, 1963","In Autumn, 1963","They end in Summer, 1963","They end in Autumn, 1963",NULL
worksheet,i have a dream,8,How does Martin Luther King want to gain justice?,By using the marvellous new militancy in the black community,With physical force and soul force,Without physical violence,By being bitter and hateful,NULL
worksheet,i have a dream,9,Who came to listen to the speech?,"People of many skin colours, including white people","People of many skin colours, but no white people","No one, it was written down",It is not mentioned in the speech,NULL
worksheet,i have a dream,10,Which of the following is not mentioned in the speech?,Black people are assaulted by the police,Black people are not allowed to stay in motels and hotels,Black people can move out of the ghetto,There are many ìFor whites onlyî signs,NULL
worksheet,i have a dream,11,Are black people allowed to vote in New York?,"Yes, but only some of them","Yes, but people donít believe them","Yes, but there is nothing to vote for","No, they have nothing to vote for",NULL
worksheet,i have a dream,12,Which state does Martin Luther King mention is especially racist?,Pennsylvania,Georgia,New York,Mississippi,NULL
worksheet,i have a dream,13,Why does Martin Luther King repeat the phrase ëI have a dreamí?,It is the title of his speech,People werenít listening to him,He had more than one dream,To show that it was important,NULL
worksheet,i have a dream,14,What is Martin Luther Kingís dream?,"To work together, to pray together, to struggle together, to go to jail together, to stand up for freedom together","For every valley, hill, mountain, rough place and crooked place to be made flat",To make everyone sing at the same time,To free the black people from slavery,To ensure everyone has equal rights
worksheet,i have a dream,15,Which is closest in meaning to being ëfreeí (line 118)?,costing no money,not being a slave,available,not being controlled by other people,NULL
worksheet,jabberwocky,1,What type of words do you think ìgyreî and ìgimbleî (line 2) are?,Nouns,Verbs,Adjectives,Adverbs,NULL
worksheet,jabberwocky,2,What does the poet say the boy must avoid?,Jubjub birds,Tumtum trees,The Jabberwock,The Bandersnatch,NULL
worksheet,jabberwocky,3,"What writing technique is, ìsnicker-snackî?",Simile,Metaphor,Alliteration,Hyperbole,NULL
worksheet,jabberwocky,4,ìLong time the manxome foe he soughtî What type of word is manxome?,Verb,Adverb,Noun,Adjective,NULL
worksheet,jabberwocky,5,What type of word is Tumtum?,Pronoun,Verb,Noun,Adjective,NULL
worksheet,jabberwocky,6,Why did the hero have to rest by the Tumtum tree?,He needed to think of a strategy,He was tired,He did not know where to find the Jabberwock,It is not stated,NULL
worksheet,jabberwocky,7,"These four words are made up, but which word is now accepted as a real word for laugh?",Slithly,Burbled,Mimsy,Chortled,NULL
worksheet,jabberwocky,8,What was used to kill the Jabberwock?,A magical sword,A long spear-like sword,A sword,A bow and arrow,NULL
worksheet,jabberwocky,9,Which of these is true?,The monster was killed in a short period of time,The hero killed the monster by taking off his head,The Jabberwock was hunting the boy,The boy is young,NULL
worksheet,jabberwocky,10,How does the Jabberwock feel?,Hungry,Angry,Protective,Territorial,NULL
worksheet,jabberwocky,11,What impression of the Jabberwock is created when the poet writes ìCame whiffling through the tulgey woodî?,It makes the Jabberwock sound clumsy,It sounds like the Jabberwock is trying to remain quiet,It sounds like the Jabberwock moved quickly,It sounds like it is flying,NULL
worksheet,jabberwocky,12,How many different types of trees are mentioned in the poem?,One,Two,Three,Four,NULL
worksheet,jabberwocky,13,What is one possible reason the poet starts and ends the poem by repeating the first stanza?,It lets the reader know that not much has changed in the time the boy has killed the Jabberwock,To highlight how weird and mystical the forest is,To show the reader that poet is able to create a vivid picture even from using made-up words,To illustrate that you can tell a story with a few nonsense words and real words,NULL
worksheet,jane eyre,1,What was Jane doing in the window-seat before John arrived?,reading Bewick,reading Goldsmith,reading a book we do not know the title of,"petting Bewick, the cat",hiding from John
worksheet,jane eyre,2,"From the text, what is the suggested relationship between Eliza, Georgina and John?",friends,siblings,neighbours,cousins,classmates
worksheet,jane eyre,3,Why couldnít John find Jane?,His vision was impaired.,He entered the wrong room.,Jane hid behind the curtain when he arrived.,"Jane had drawn the curtains beforehand, hiding her from view.","Jack found her first, because Eliza had told him where she was."
worksheet,jane eyre,4,How was Jane displaced from the window-seat?,Eliza saw Jane.,Eliza predicted where Jane was hiding.,"Jane left her hiding place, fearful of John dragging her out.",Jane dropped her book and the noise alerted John.,Jack dragged Jane out.
worksheet,jane eyre,5,Which of the following best describes how Jane usually conducts herself around John?,She treats him respectfully but is careless with her words.,"She spitefully ignores him, rarely replying to what he says.",She is combative despite her diffidence.,She is habitually obedient and responds to what he says.,She asserts her boundaries and refuses to be bullied.
worksheet,jane eyre,6,"ëHe bullied and punished me; not two or three times in the week, nor once or twice in the day, but continuallyí Why does Jane choose to explain the frequency of Johnís bullying in this way?",She is exaggerating.,She is using hyperbole.,She wants to express that she wasnít bullied much.,She wants to make clear the incessant nature of the bullying.,"She is recalling the past, so we are following her train of thought."
worksheet,jane eyre,7,Which of the following words does not describe Janeís opinion of John?,prudent,disgusting,terrifying,malevolent,cruel
worksheet,jane eyre,8,"Aside from the incident described in the passage, why didnít the adults intervene with Johnís constant bullying?","He rarely hit Jane, so none of the adults took it seriously.",The servants and Mrs. Reed were unaware of the harassment.,The servants didnít want to offend John. Mrs. Reed was unaware of the harassment.,The servants didnít want to offend the young master. Mrs. Reed ignored it.,The servants didnít want to offend John. Mrs. Reed was blind and deaf.
worksheet,jane eyre,9,"ìI wonder if he read that notion in my faceî Which of the following, regarding this clause, is true?",Jane was wondering if John would hit her.,Jane was wondering if John noticed that she wasnít scared.,Jane was wondering if John knew he was disgusting.,Jane was wondering if John noticed she held him in low regard.,The author is using a simile.
worksheet,jane eyre,10,Which of the following furnishings is not mentioned to be in the breakfast-room?,an armchair,a window-seat,a curtain,a mirror,a pillow
worksheet,jane eyre,11,"John likes to make up reasons for why he hurts Jane, to excuse his violence. Which of the following reasons does he fail to use?",Jane replied to Mrs. Reed.,Jane read a book in the house.,Jane had an unpleasant expression on her face.,Jane was sitting in the window-seat.,"Jane insulted him, saying he was like the Roman emperors."
worksheet,jane eyre,12,What impression do we get of Mrs. Reed?,She is protective of Jane.,She is unobservant.,She is biased.,She is humble.,She is generous.
