Id,Source,PassageName,QuestionId,QuestionText,QuestionDifficulty
761,mocktest,those winter,1,Who is the main character in the story?,1
762,mocktest,those winter,2,What does the author mean by 'blueblack cold'?,3
763,mocktest,those winter,3,Why does the speaker wake early on Sundays?,2
764,mocktest,those winter,4,What is the role of the father in the story?,2
765,mocktest,those winter,5,What does the phrase 'No one ever thanked him' imply?,4
766,mocktest,those winter,6,Why did the speaker fear 'the chronic angers of that house'?,5
767,mocktest,those winter,7,What emotions are evoked by the speaker's indifference to his father?,4
768,mocktest,those winter,8,Why did the speaker's father polish his good shoes?,3
769,mocktest,those winter,9,What does the phrase 'loves austere and lonely offices' mean?,5
770,mocktest,those winter,10,How does the weather play a significant role in the story?,3
771,mocktest,those winter,11,From whose perspective is the story told?,1
772,mocktest,those winter,12,What is the speaker's mood upon waking?,3
773,mocktest,those winter,13,What does the word 'austere' refer to in this context?,4
774,mocktest,those winter,14,How is the father's character described in the story?,2
775,mocktest,those winter,15,What is the overarching theme of the story?,5
776,mocktest,those winter,16,What is the significance of the setting in the story?,2
777,mocktest,those winter,17,Does the speaker display any signs of regret?,4
